Index,PortNames,DistinctLatLong,TooVague,Sea,IndigenousName,Unfindable,NotableFind,Notes,
449,BARBADOS (CRUISING),"13.1881671,-59.6054669",,,,,,,
450,"Barbados, port unspecified","13.1881671,-59.6054669",,,,,,,
451,BARDADOS,"13.1881671,-59.6054669",,,,,,,
452,EAST END OF BARBADOS (THEN CARLISLE BAY),"13.1881671,-59.6054669",,,,,,,
453,Barbados,"13.1881671,-59.6054669",,,,,,,
454,ST VINCENT,"13.2482942,-61.2134814",,,,,,,
455,"St. Vincent, port unspecified","13.2528084,-61.267289",,,,,,,
456,Gulf of Amapalla,"13.2749292,-87.6547838",,Y,,,,,
457,Amapalla,"13.2913855,-87.6559854",,,,,,,
458,MOCHA,"13.3118907,43.2389044",,,,,,,
459,MOCHA (MOKHA),"13.3118907,43.2389044",,,,,,,
460,GAMBIA,"13.4168572,-15.9307064",,Y,,,,,
461,Gambia,"13.4168572,-15.9307064",,Y,,,,,
462,GAMBIA RIVER,"13.4168572,-15.9307064",,Y,,,,,
463,RIVER GAMBIA,"13.4168572,-15.9307064",,Y,,,,,
464,Guam,"13.4506566,144.507947",,,,,,,
465,Ladrone Islands,"13.4506566,144.507947",,,,,,,
466,Ladrones,"13.4506566,144.507947",,,,,,,
467,"Senegambia and offshore Atlantic, port unspecified","13.510418,-20.5152225",Y,,,,,,
468,Siam,"13.7245599,100.4926836",,,,,,,
469,Bay of Siam,"9.7124334,101.3427358",,Y,,,,,
470,Lucea (a) St. Lucea,"13.9128126,-61.1109434",,,,,,,
471,ST LUCIA,"13.9128126,-61.1109434",,,,,,,
472,"St. Lucia, port unspecified","13.9128126,-61.1109434",,,,,,,
473,Bay of Bengal,"14.0929266,82.8830018",,Y,,,,,
474,Portudal,"14.445287,-17.0277572",,,,,,,
475,SENEGAL,"14.4762601,-15.6408115",,,,,,,
476,MANILLA,"14.5964957,120.9444545",,,,,,,
477,Manila,"14.5964957,120.9444545",,,,,,,
478,Manilas,"14.5964957,120.9444545",,,,,,,
479,Manilla,"14.5964957,120.9444545",,,,,,,
480,MARTINICO,"14.6340475,-61.154202",,,,,,,
481,MARTINIQUE,"14.6340475,-61.154202",,,,,,,
482,"Martinique, port unspecified","14.6340475,-61.154202",,,,,,,
483,Martinique,"14.6340475,-61.154202",,,,,,,
484,FORT ROYAL,"14.6486969,-61.1038976",,,,,,,
485,"FORT ROYAL, MARTINIQUE","14.6486969,-61.1038976",,,,,,,
486,French Africa (Goree or Senegal),"14.6672883,-17.4008585",,,,,,,
487,GOREE,"14.6672883,-17.4008585",,,,,,,
488,Goree,"14.6672883,-17.4008585",,,,,,,
489,CAPE VERDE (DAKAR),"14.7110218,-17.5009303",,,,,,,
490,Saint-Pierre,"14.7416667,-61.1780273",,,,,,,
491,Galam,"14.7560207,-12.1948946",,,,,,,
492,ST PIERRE BAY MARTINICO,"14.7727179,-61.2107998",,,,,,,
493,ST PIERRE MARTINQUE,"14.7727179,-61.2107998",,,,,,,
494,PORT PRAYA,"14.9364449,-23.5417491",,,,,,,
495,PORTA PRAYA,"14.9364449,-23.5417491",,,,,,,
496,PORTO PRAYA,"14.9364449,-23.5417491",,,,,,,
497,ISLE TINIAN,"15.011881,145.55782",,,,,,,
498,British Leewards,"15.0942428,-64.5583079",Y,,,,,,
499,LEEWARD ISLANDS,"15.0942428,-64.5583079",Y,,,,,,
500,Honduras,"15.2215169,-87.3332153",,,,,,,
501,MAYO CAPE VERDE ISLANDS,"15.2273559,-23.2310778",,,,,,,
502,Mayo,"15.2273559,-23.2310778",,,,,,,
503,GOA,"15.3470372,73.7314364",,,,,,,
504,GOA ROAD,"15.3470372,73.7314364",,,,,,,
505,Goa,"15.3470372,73.7314364",,,,,,,
506,"Americas, port unspecified","16.901906,-91.377758",Y,,,,,,
507,America,"16.901906,-91.377758",Y,,,,,,
508,Main of America,"16.901906,-91.377758",Y,,,,,,
509,DOMINICA,"15.4263291,-61.497932",,,,,,,
510,"Dominica, port unspecified","15.4263291,-61.497932",,,,,,,
511,DOMINICO,"15.4263291,-61.497932",,,,,,,
512,WOODMANS BAY DOMINICA,"15.4263291,-61.497932",,,,,,,
513,PRINCE RUPERT BAY,"15.5679454,-61.4605414",,,,,,,
514,"PRINCE RUPERT BAY, DOMINICA","15.5679454,-61.4605414",,,,,,,
515,PRINCE RUPERTS BAY,"15.5679454,-61.4605414",,,,,,,
516,PRINCE RUPERTS BAY DOMINICA,"15.5679454,-61.4605414",,,,,,,
517,Luconia,"15.5805779,119.7248607",,,,,,,
518,Isle Luconia,"15.5805779,119.7248607",,,,,,,
519,Guatimala,"15.7199731,-91.358722",,,,,,,
520,Guatulco,"15.762552,-96.130921",,,,,,,
521,Guatulco Port,"15.762552,-96.130921",,,,,,,
522,Guatulco Village,"15.762552,-96.130921",,,,,,,
523,Basse-Terre,"16.0101757,-61.7314899",,,,,,,
524,Saint-Louis,"16.0199527,-16.4934045",,,,,,,
525,SENEGAL RIVER,"16.0199527,-16.4934045",,Y,,,,,
526,SENEGAL ROAD,"16.0199527,-16.4934045",,Y,,,,,
527,CAPE DE VERDE,"16.0202004,-25.1125681",,,,,,,
528,CAPE VERDE,"16.0202004,-25.1125681",,,,,,,
529,Cape Verde Islands,"16.0202004,-25.1125681",,,,,,,
530,Cape Verde,"16.0202004,-25.1125681",,,,,,,
531,Cape Verde Islands,"16.0202004,-25.1125681",,,,,,,
532,Cape Verd,"16.0202004,-25.1125681",,,,,,,
533,CAPE NEGRAIS BURMA,"16.034091,94.0602846",,,,,,,
534,NEGRAIS BURMA,"16.034091,94.0602846",,,,,,,
535,tourane,"16.0471659,108.1716008",,,,,,,
536,Champa,"16.0472484,108.1716008",,,,,,,
537,Kingdom of Champa,"16.0472484,108.1716008",,,,,,,
538,"Guadeloupe, port unspecified","16.1494457,-61.6779209",,,,,,,
539,Bay of Honduras,"16.1513995,-88.2604762",,Y,,,,,
540,MAPULIPATAM,"16.1857899,81.1131669",,,,,,,
541,masulipatnam,"16.1857899,81.1131669",,,,,,,
542,DESEADA,"16.3199246,-61.0678522",,,,,,,
543,PLYMOUTH (MONSERRAT),"16.7049867,-62.216661",,,,,,,
544,"PLYMOUTH, MONSERRAT","16.7049867,-62.216661",,,,,,,
545,MONSERRAT,"16.7485341,-62.2277073",,,,,,,
546,MONTSERAT,"16.7485341,-62.2277073",,,,,,,
547,MONTSERRAT,"16.7485341,-62.2277073",,,,,,,
548,"Montserrat, port unspecified","16.7485341,-62.2277073",,,,,,,
549,ACAPULCO,"16.852207,-99.844592",,,,,,,
550,Acapulco,"16.852207,-99.844592",,,,,,,
551,Acapulco Harbour,"16.852207,-99.844592",,,,,,,
552,Accomac,"16.852207,-99.844592",,,,,,,
553,"ENGLISH BAY, ANTIGUA","17.0087855,-61.7708912",,,,,,,
554,ANTEGUA,"17.0856571,-61.859799",,,,,,,
555,ANTIGUA,"17.0856571,-61.859799",,,,,,,
556,"Antigua, port unspecified","17.0856571,-61.859799",,,,,,,
557,NEVIS,"17.1509211,-62.6216815",,,,,,,
558,"Nevis, port unspecified","17.1509211,-62.6216815",,,,,,,
559,"British Honduras, port unspecified","17.187668,-89.444059",,,,,,,
560,Newcastle (Nevis),"17.2002438,-62.6013208",,,,,,,
561,BASSE TERRE,"17.315409,-62.8130066",,,,,,,
562,BASSE TERRE ROADS,"17.315409,-62.8130066",,,,,,,
563,ST CHRISTOPHER,"17.315409,-62.8130066",,,,,,,
564,ST CHRISTOPHERS,"17.315409,-62.8130066",,,,,,,
565,ST CHRISTOPHERS (BASSE TERRE),"17.315409,-62.8130066",,,,,,,
566,ST EUSTATIUS,"17.4951788,-62.992078",,,,,,,
567,St. Eustatius,"17.4951788,-62.992078",,,,,,,
568,St. Croix,"17.7293395,-64.804582",,,,,,,
569,VIZAGAPATNAM,"17.7386223,83.1221642",,,,,,,
570,Oxford,"17.7391397,-64.8697556",,,,,,,
571,Oxford,"17.7391397,-64.8697556",,,,,,,
572,Morant Bay,"17.8842094,-76.4004064",,,,,,,
573,ST JAGO,,,,,,,Too ambiguous,
574,ST JAGO (SAO TIAGO),"17.9218355,-77.4617026",,,,,,,
575,"St. Barthelemy, port unspecified","17.9221469,-62.9065552",,,,,,,
576,CRUISING OFF PORT ROYAL,"17.936843,-76.8439502",,,,,,,
577,JAMAICA PORT ROYAL,"17.936843,-76.8439502",,,,,,,
578,PORT ROYAL,"17.936843,-76.8439502",,,,,,,
579,Port Royal,"17.936843,-76.8439502",,,,,,,
580,PORT ROYAL (JAMAICA),"17.936843,-76.8439502",,,,,,,
581,PORT ROYAL JAMAICA,"17.936843,-76.8439502",,,,,,,
582,"PORT ROYAL, JAMAICA","17.936843,-76.8439502",,,,,,,
583,Port Royal,"17.936843,-76.8439502",,,,,,,
584,Spanish Town,"18.014507,-77.0003062",,,,,,,
585,St. Jago,,,,,,,Too ambiguous,
586,Spanish town,"18.014507,-77.0003062",,,,,,,
587,Kingston,"18.0179331,-76.8357615",,,,,,,
588,St. Maarten,"18.0291322,-63.0942052",,,,,,,
589,MONA ISLAND,"18.0333328,-63.1254429",,,,,,,
590,Black River,"18.0346881,-77.8632939",,,,,,,
591,ST CATHARINE,"-27.582311,-48.488775",,,,,,,
592,ST CATHARINE'S (SOUTH AMERICA),"-27.582311,-48.488775",,,,,,,
593,ST CATHARINES,"-27.582311,-48.488775",,,,,,,
594,ST CATHERINE'S PORT,"-27.582311,-48.488775",,,,,,,
595,ST KITTS,"18.0472509,-77.1711141",,,,,,,
596,"St. Kitts, port unspecified","18.0472509,-77.1711141",,,,,,,
597,"Danish West Indies, colony unspecified","18.0665772,-65.0195551",,,,,,,
598,Zion Hill,"18.1163951,-77.0302267",,,,,,,
599,JAMAICA,"18.1185235,-77.8365834",,,,,,,
600,"Jamaica, port unspecified","18.1185235,-77.8365834",,,,,,,
601,Jamaica,"18.1198251,-77.8379324",,,,,,,
602,PORT ANTOIO JAMAICA,"18.178136,-76.4618613",,,,,,,
603,PORT ANTONIO,"18.178136,-76.4618613",,,,,,,
604,Cayes (Les),"18.2010079,-73.7645271",,,,,,,
605,"Puerto Rico, port unspecified","18.2076659,-67.147687",,,,,,,
606,Savanna la Mar,"18.2367665,-78.1594635",,,,,,,
607,Jacmel,"18.2374638,-72.5479374",,,,,,,
608,Annotto Bay,"18.2703118,-76.7768061",,Y,,,,,
609,"ST THOMAS, VIRGIN ISLANDS","18.3222725,-65.0339269",,,,,,,
610,St. Thomas,"18.3222725,-65.0339269",,,,,,,
611,St. Thomas,"18.3222725,-65.0339269",,,,,,,
612,PETER'S ISLAND (WEST INDIES),"18.3465583,-64.6230848",,,,,,,
613,Port Maria,"18.3674773,-76.9002843",,,,,,,
614,ANGUILLA,"18.3898169,-63.340577",,,,,,,
615,"Anguilla, port unspecified","18.3898169,-63.340577",,,,,,,
616,"Spanish Caribbean, unspecified","18.4162654,-68.3287173",Y,,,,,,
617,Caribbean Islands,"18.4162654,-68.3287173",Y,,,,,,
618,Caribbean Isles,"18.4162654,-68.3287173",Y,,,,,,
619,ROAD TORN TORTOLA,"18.4243251,-64.624629",,,,,,,
620,"ROAD TOWN, TORTOLA","18.4243251,-64.624629",,,,,,,
621,TORTOLA,"18.4243251,-64.624629",,,,,,,
622,"TORTOLA ROADS, ST THOMAS","18.4243251,-64.624629",,,,,,,
623,"Tortola, port unspecified","18.4243251,-64.624629",,,,,,,
624,Saint Ann's Bay,"18.431473,-77.2021919",,,,,,,
625,Petit Guaves,"18.4323871,-72.8653408",,,,,,,
626,Pettit Guavos,"18.4323871,-72.8653408",,,,,,,
627,Montego Bay,"18.4711336,-77.9398875",,Y,,,,,
628,Martha Brae,"18.4716209,-77.6619405",,,,,,,
629,Falmouth (Jam.),"18.4903027,-77.6663292",,,,,,,
630,Isabela,"18.5024063,-67.0288387",,,,,,,
631,"British Caribbean, colony unspecified","17.236513,-68.847351",Y,,,,,,
632,WEST INDIES,"17.236513,-68.847351",Y,,,,,,
633,West Indies (colony unspecified),"17.236513,-68.847351",Y,,,,,,
634,West Indies,"17.236513,-68.847351",Y,,,,,,
635,PORT AU PRINCE,"18.5790241,-72.3546715",,,,,,,
636,Port-au-Prince,"18.5790241,-72.3546715",,,,,,,
637,PORTENDIC,"18.583333,-16.116667",,,,,,,
638,PORTENDIE,"18.583333,-16.116667",,,,,,,
639,"Hispaniola, unspecified","18.775171,-72.5257392",,,,,,,
640,Hispaniola,"18.775171,-72.5257392",,,,,,,
641,"Saint-Domingue, port unspecified","19.097951,-72.4265327",,,,,,,
642,SAN DOMINGO,"19.097951,-72.4265327",,,,,,,
643,BOMBAY,"19.0821976,72.7407592",,,,,,,
644,BOMBAY HARBOUR,"19.0821976,72.7407592",,,,,,,
645,BOMBAY VIA JOHANNA,"19.0821976,72.7407592",,,,,,,
646,"BOMBAY, VIA FALSE BAY","19.0821976,72.7407592",,,,,,,
647,Saint-Marc,"19.1068968,-72.7185066",,,,,,,
648,Colima,"19.2401254,-103.763713",,,,,,,
649,Bay of Colima,"19.2401254,-103.763713",,,,,,,
650,CAYMANS BAY (CAPE),"19.506883,-81.1360578",,,,,,,
651,Cap Francais,"19.7422868,-72.2246791",,,,,,,
652,CAPE FRANCOIS HARBOUR,"19.7422868,-72.2246791",,,,,,,
653,"CAPE FRANCOIS HARBOUR, HISPANOLA","19.7422868,-72.2246791",,,,,,,
654,Veracruz,"19.790287,-98.3938368",,,,,,,
655,CAPE NICHOLAS,"19.8062017,-73.3789409",,,,,,,
656,"CAPE NICHOLAS, SAN DOMINGO","19.8062017,-73.3789409",,,,,,,
657,CAPE ST NICHOLAS,"19.8062017,-73.3789409",,,,,,,
658,Mole Saint Nicolas,"19.8062017,-73.3789409",,,,,,,
659,East India,"19.81371,83.343393",Y,,,,,,
660,Campeche,"19.8305682,-90.5799222",,,,,,,
661,Monte Christi,"19.8452352,-71.6534114",,,,,,,
662,Bay of Campeachy,"19.8508459,-96.1205464",,Y,,,,,
663,Campeachy,"19.8305682,-90.5799222",,,,,,,
664,MALACCA,"2.2373785,102.2163985",,,,,,,
665,MALACCA TOWN,"2.2373785,102.2163985",,,,,,,
666,MALLACA TOWN,"2.2373785,102.2163985",,,,,,,
667,PULO TIMOAN,"2.8064804,104.1001229",,,,,,,
668,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","2.8333329,7.9912238",Y,Y,,,,,
669,Gorgonia,"2.9683332,-78.1932206",,,,,,,
670,Gorgona,"2.9683332,-78.1932206",,,,,,,
671,"West Central Africa and St. Helena, port unspecified","2.9786146,-2.8913089",Y,,,,,,
672,Windward + Ivory + Gold + Benin,"2.9786146,-2.8913089",Y,,,,,,
673,Santiago de Cuba,"20.0243326,-75.8612019",,,,,,,
674,Tortuga,"20.0411752,-72.8656878",,,,,,,
675,Tortuga,"20.0411752,-72.8656878",,,,,,,
676,Red Sea,"20.246087,38.502309",Y,Y,,,,,
677,OWHYHEE,"20.45639,-158.6288977",,,,,,,
678,SANDWICH ISLANDS,"20.45639,-158.6288977",,,,,,,
679,ST MARTINS,"20.6058378,92.3094192",,,,,,,
680,POINT PALMIRAS,"20.7220463,87.02931",,,,,,,
681,India,"22.363879,78.157527",Y,,,,,,
682,Tonquin,"20.8467333,106.6636415",,,,,,,
683,Tunquin,"20.8467333,106.6636415",,,,,,,
684,Leon,"21.1218993,-101.7362229",,,,,,,
685,SURAT,"21.1591857,72.7520848",,,,,,,
686,Turk's Island,"21.3416231,-71.3037396",,,,,,,
687,COX'S ISLAND (BENGAL),"21.4508945,91.9327778",,,,,,,
688,BALLISORE (BALESHWAR) ROAD,"21.4894038,86.8840541",,,,,,,
689,CUBA,"22.204864,-79.4574347",,,,,,,
690,"Cuba, port unspecified","22.204864,-79.4574347",,,,,,,
691,Cuba,"22.204864,-79.4574347",,,,,,,
692,WYMOA BAY,"21.642958,-158.0692535",,Y,,,,,
693,SAUGER ROADS,"21.7523355,88.0363422",,Y,,,,,
694,SAUGOR  ROADS,"21.7523355,88.0363422",,Y,,,,,
695,SAUGOR ROAD,"21.7523355,88.0363422",,Y,,,,,
696,SAUGOR ROADS,"21.7523355,88.0363422",,Y,,,,,
697,Trinidad de Cuba,"21.7977167,-79.9934937",,,,,,,
698,YAM BAY,"21.8602772,-160.2493318",,,,,,,
699,KEDGEREE,"21.8610997,87.9392137",,,,,,,
700,KEGERREE,"21.8610997,87.9392137",,,,,,,
701,CAICOS,"21.9333327,-72.1067639",,,,,,,
702,Bashee Island,"22.0258528,120.7119336",,,,,,,
703,Monmouth Island,"22.0258528,120.7119336",,,,,,,
704,Monmouth,"22.0258528,120.7119336",,,,,,,
705,Bashee Islands,"22.0258528,120.7119336",,,,,,,
706,Grafton Island,"22.0258528,120.7119336",,,,,,,
707,Grafton Islands,"22.0258528,120.7119336",,,,,,,
708,Grafton Isle,"22.0258528,120.7119336",,,,,,,
709,Grafton Isles,"22.0258528,120.7119336",,,,,,,
710,Grafton,"22.0258528,120.7119336",,,,,,,
711,Bashee,"22.0258528,120.7119336",,,,,,,
712,MACAO,"22.1618282,113.5350475",,,,,,,
713,MACCAO,"22.1618282,113.5350475",,,,,,,
714,Macao,"22.1618282,113.5350475",,,,,,,
715,"DIAMOND HARBOUR, BENGAL","22.1977229,88.1827462",,,,,,,
716,hong kong,"22.3526629,113.9872732",,,,,,,
717,MAYAGUANA (BAHAMAS),"22.3694174,-73.0818797",,,,,,,
718,Alceranes,"22.3999994,-89.9801728",,,,,,,
719,West India,"22.4913718,69.4620901",Y,,,,,,
720,CROOKED ISLAND (BAHAMAS),"22.5070984,-74.3936089",,,,,,,
721,CALCUTTA,"22.6757509,88.0488594",,,,,,,
722,CALICUT,"11.2530907,75.7768658",,,,,,,
723,Cape San Lucas,"22.8962253,-109.9505506",,,,,,,
724,hughli,"22.9027441,88.3721806",,,,,,,
725,MATANZES (CUBA),"23.0473549,-81.5885057",,,,,,,
726,HAVANA,"23.0506246,-82.4734288",,,,,,,
727,Havana,"23.0506246,-82.4734288",,,,,,,
728,HAVANA (CUBA),"23.0506246,-82.4734288",,,,,,,
729,HAVANNA,"23.0506246,-82.4734288",,,,,,,
730,HAVANNA(?),"23.0506246,-82.4734288",,,,,,,
731,HAVANNAH,"23.0506246,-82.4734288",,,,,,,
732,HAVANNAH (CUBA),"23.0506246,-82.4734288",,,,,,,
733,Havana,"23.0506246,-82.4734288",,,,,,,
734,CANTON,"23.1253491,112.9469749",,,,,,,
735,"CANTON RIVER, CHINA","23.1253491,112.9469749",,,,,,,
736,CANTON VIA AUSTRALIA,"23.1253491,112.9469749",,,,,,,
737,Canton,"23.1253491,112.9469749",,,,,,,
738,Mexico,"21.750465,-101.619326",Y,,,,,,
739,Bay of Nova Hispania,"25.731766,-90.041935",,Y,,,,,
740,Gulf of Mexico,"25.731766,-90.041935",,Y,,,,,
741,Formosa,"23.757851,120.9481053",,,,,,,
742,MUSCAT,"23.583993,58.3534548",,,,,,,
743,dhaka,"23.7806206,90.3491143",,,,,,,
744,BENGAL,"23.889975,88.637086",Y,,,,,,
745,BENGAL VIA MADERIA,"23.889975,88.637086",Y,,,,,,
746,BENGALL,"23.889975,88.637086",Y,,,,,,
747,Bengal,"23.889975,88.637086",Y,,,,,,
748,Arabia,"24.623713,44.544815",Y,,,,,,
749,murshidabad,"24.1832423,88.2580232",,,,,,,
750,BAHAMAS,"24.4178465,-78.2156469",,,,,,,
751,"Bahamas, port unspecified","24.4178465,-78.2156469",,,,,,,
752,Bahama Islands,"24.4178465,-78.2156469",,,,,,,
753,FLORIDA KEYS,"24.664438,-82.186819",,,,,,,
754,Culiacan,"24.804991,-107.4584194",,,,,,,
755,Nassau,"25.0325441,-77.4773044",,,,,,,
756,"NASSAU, BAHAMAS","25.0325441,-77.4773044",,,,,,,
757,Nassau,"25.0325441,-77.4773044",,,,,,,
758,Nassaw,"25.0325441,-77.4773044",,,,,,,
759,NEW PROVIDENCE,"25.0509499,-77.3562318",,,,,,,
760,New Providence,"25.0509499,-77.3562318",,,,,,,
761,NEW PROVIDENCE BAHAMAS,"25.0509499,-77.3562318",,,,,,,
762,PROVIDENCE (BAHAMAS),"25.0509499,-77.3562318",,,,,,,
763,Fokien,"25.2703072,118.7653814",,,,,,,
764,EGG ISLAND,"25.4954335,-76.8860686",,,,,,,
765,patna,"25.6080207,85.0728316",,,,,,,
766,CAPE FLORIDA,"25.6656578,-80.166601",,,,,,,
767,CAPE OF FLORIDA,"25.6656578,-80.166601",,,,,,,
768,Cape Florida,"25.6656578,-80.166601",,,,,,,
769,GOMBROON,"27.1898639,56.0974714",,,,,,,
770,California,"31.508694,-115.035245",Y,,,,,,
771,Lake of California,"31.508694,-115.035245",Y,,,,,,
772,Gulf or Lake of California,"31.508694,-115.035245",Y,,,,,,
773,FLORIDA,"28.434042,-81.750622",,,,,,,
774,"Florida, port unspecified","28.434042,-81.750622",,,,,,,
775,Gulf of Florida,"27.5220383,-88.3072601",,Y,,,,,
776,SANTA CRUZ,"28.4578193,-16.303887",,,,,,,
777,"SANTA CRUZ, TENERIFE","28.4578193,-16.303887",,,,,,,
778,TENERIFE,"28.4578193,-16.303887",,,,,,,
779,Tenerife,"28.4578193,-16.303887",,,,,,,
780,TENERIFF,"28.4578193,-16.303887",,,,,,,
781,TENERIFFE,"28.4578193,-16.303887",,,,,,,
782,TENNERIFE,"28.4578193,-16.303887",,,,,,,
783,Tenerife,"28.4578193,-16.303887",,,,,,,
784,La Balise,"29.3797713,-89.7583264",,,,,,,
785,ST AUGUSTINE FLORIDA,"29.9064813,-81.3405167",,,,,,,
786,ST AUGUSTINES (FLORIDA),"29.9064813,-81.3405167",,,,,,,
787,St. Augustine,"29.9064813,-81.3405167",,,,,,,
788,Fernando Po and Princes Islands,"3.4988091,8.5357642",,,,,,,
789,Dembia,"3.5117075,25.8299947",,,,,,,
790,MALAYSIA,"3.7004107,100.3984791",,,,,,,
791,Cameroons River,"3.9202777,9.5481682",,Y,,,,,
792,Bimbia,"3.9614451,9.2466473",,,,,,,
793,WAMPOA,"3.9721617,98.5301355",,,,,,,
794,WAMPOE,"3.9721617,98.5301355",,,,,,,
795,WHAMPOA,"3.9721617,98.5301355",,,,,,,
796,WHAMPOE,"3.9721617,98.5301355",,,,,,,
797,SURINAM,"3.982689,-57.1306585",,,,,,,
798,Suriname,"3.982689,-57.1306585",,,,,,,
799,Surinam,"3.982689,-57.1306585",,,,,,,
800,New Orleans,"30.0329219,-90.0229897",,,,,,,
801,Pensacola,"30.4368551,-87.2629554",,,,,,,
802,PENSICOLA FLORIDA,"30.4368551,-87.2629554",,,,,,,
803,"CUMBERLAND ISLAND, FLORIDA","30.8454238,-81.5204896",,,,,,,
804,Louisiana,"30.9324754,-92.5246947",,,,,,,
805,"ALEXANDRIA, EGYPT","31.2240918,29.8846746",,,,,,,
806,Pacific Sea,"31.385858,-179.012103",Y,Y,,,,,
807,Mare Pacifico,"31.385858,-179.012103",Y,Y,,,,,
808,Western Ocean,"31.385858,-179.012103",Y,Y,,,,,
809,FENSHALL ROAD MADEIRA,"31.5743348,-17.6848363",,,,,,,
810,FUNCHAL,"31.5743348,-17.6848363",,,,,,,
811,FUNCHAL ROAD,"31.5743348,-17.6848363",,,,,,,
812,FUNCHAL ROAD (MADEIRA),"31.5743348,-17.6848363",,,,,,,
813,FUNCHAL ROADS,"31.5743348,-17.6848363",,,,,,,
814,FUNCHAL TOWARDS AZORES AND BACK,"31.5743348,-17.6848363",,,,,,,
815,FUNCHALL ROAD,"31.5743348,-17.6848363",,,,,,,
816,MADEIRA,"31.5743348,-17.6848363",,,,,,,
817,Madeira,"31.5743348,-17.6848363",,,,,,,
818,MADERIA,"31.5743348,-17.6848363",,,,,,,
819,MADERIA ROAD,"31.5743348,-17.6848363",,,,,,,
820,NEAR MADEIRA,"31.5743348,-17.6848363",,,,,,,
821,Madeira,"31.5743348,-17.6848363",,,,,,,
822,Jerusalem,"31.7962993,35.1051477",,,,,,,
823,Atlantic Sea,"31.8226535,-48.0569754",,Y,,,,,
824,Atlantic,"31.8226535,-48.0569754",Y,Y,,,,,
825,SAVANAH GEORGIA,"32.0387661,-81.3407046",,,,,,,
826,SAVANNAH,"32.0387661,-81.3407046",,,,,,,
827,Savannah,"32.0387661,-81.3407046",,,,,,,
828,Savannah,"32.0387661,-81.3407046",,,,,,,
829,Persia,"32.474382,54.046439",Y,,,,,,
830,Hamilton (Bermuda),"32.295106,-64.7888121",,,,,,,
831,BERMUDA,"32.3192793,-64.8366112",,,,,,,
832,Bermuda,"32.3192793,-64.8366112",,,,,,,
833,"THE WELLS, BERMUDA","32.3192793,-64.8366112",,,,,,,
834,Bermuda,"32.3192793,-64.8366112",,,,,,,
835,"PORT ROYAL, SOUTH CAROLINA","32.3569856,,-80.7861286",,,,,,,
836,ST GEORGES BERMUDA,"32.3817466,-64.6795525",,,,,,,
837,"MURRAY'S ANCHORAGE, BERMUDA","32.383889,-64.720556",,,,,,,
838,"MURRAYS ANCHORAGE, BERMUDA","32.383889,-64.720556",,,,,,,Y
839,Beaufort,"32.44593,-80.7959022",,,,,,,
840,"Georgia, port unspecified","32.658071,-85.426872",,,,,,,
841,Japan,"35.887792,136.603124",Y,,,,,,
842,FORT JOHNSON,"32.7513371,-79.907442",,,,,,,
843,CHALESTOWN,"32.820967,-80.110904",,,,,,,
844,CHARLES TOWN,"32.820967,-80.110904",,,,,,,
845,CHARLESTON,"32.820967,-80.110904",,,,,,,
846,Charleston,"32.820967,-80.110904",,,,,,,
847,CHARLESTOWN,"32.820967,-80.110904",,,,,,,
848,CHARLESTOWN N.CAROLINA,"32.820967,-80.110904",,,,,,,
849,ASHLEY RIVER,"32.865437,-80.1682127",,Y,,,,,
850,TRIPOLI,"32.8829357,13.1707834",,,,,,,
851,"South Carolina, port unspecified","33.6194151,-82.0504166",,,,,,,
852,CAROLINA,"33.8112258,-78.8062836",,,,,,,
853,Carolina,"33.8112258,-78.8062836",,,,,,,
854,New Mexico,"34.1457694,-108.2745716",Y,,,,,,
855,CAPE FEAR,"34.2921747,-77.9793537",,,,,,,
856,CHINA,"35.064699,106.483728",Y,,,,,,
857,China,"35.064699,106.483728",Y,,,,,,
858,OCRACOKE,"35.1293413,-75.9616775",,,,,,,
859,"North Carolina, port unspecified","35.1497415,-82.1094474",,,,,,,
860,"TANGIER BAY, CHESAPEAKE","35.7911101,-5.7915542",,,,,,,
861,Malta,"35.9423682,14.2379243",,,,,,,
862,ST PAULS ISLAND,"35.9657008,14.4009156",,,,,,,
863,GIBRALTAR,"36.129508,-5.3708525",,,,,,,
864,GIBRALTAR VIA ANTIGUA,"36.129508,-5.3708525",,,,,,,
865,GIBRALTER,"36.129508,-5.3708525",,,,,,,
866,GIBRALTOR VIA ANTIGUA,"36.129508,-5.3708525",,,,,,,
867,Aleppo,"36.2064141,37.0783739",,,,,,,
868,"USA, location unspecified","36.2108231,-113.7209246",Y,,,,,,
869,CADIX,"36.5163851,-6.3000196",,,,,,,
870,CADIZ,"36.5163851,-6.3000196",,,,,,,
871,Cadiz,"36.5163851,-6.3000196",,,,,,,
872,TOWARDS CADIZ,"36.5163851,-6.3000196",,,,,,,
873,ALGIERS,"36.6965824,2.9517947",,,,,,,
874,CRANY ISLAND,"36.8923692,-76.3681643",,,,,,,
875,Lower James River,"36.9308008,-76.3099316",,Y,,,,,
876,NORFOLK SOUND,"36.9308008,-76.3099316",,Y,,,,,
877,NORFOLK VIRGINIA,"36.9308008,-76.3099316",,Y,,,,,
878,"NORFOLK, VIRGINIA","36.9308008,-76.3099316",,Y,,,,,
879,CAPE HENRY,"36.9315351,-76.0287076",,,,,,,
880,HAMPTON,"37.0229809,-76.3626701",,,,,,,
881,Hampton,"37.0229809,-76.3626701",,,,,,,
