***	O
the	O
French	O
flag	O
at	O
the	O
main-top	O
,	O
as	O
admiral	O
,	O
and	O
streamers	O
and	O
pendants	O
at	O
the	O
yard-arms	O
,	O
waste	O
cloths	O
out	O
,	O
and	O
a	O
very	O
fine	O
awning	O
over	O
the	O
quarter-deck	O
.	O

When	O
his	O
excellency	O
entered	O
the	O
ship	O
,	O
we	O
fired	O
one-and-twenty	O
guns	O
,	O
the	O
Madagascar	O
ship	O
fired	O
the	O
like	O
number	O
,	O
and	O
the	O
brigantine	O
fifteen	O
,	O
having	O
loaded	O
her	O
guns	O
nimbly	O
enough	O
to	O
fire	O
twice	O
.	O

As	O
the	O
governor	O
's	O
entertainment	O
to	O
us	O
was	O
more	O
meat	O
than	O
liquor	O
,	O
so	O
we	O
gave	O
him	O
more	O
liquor	O
than	O
meat	O
;	O
for	O
,	O
as	O
we	O
had	O
several	O
sorts	O
of	O
very	O
good	O
wines	O
on	O
board	O
,	O
we	O
spared	O
nothing	O
to	O
let	O
him	O
see	O
he	O
was	O
very	O
welcome	O
.	O

After	O
dinner	O
we	O
brought	O
a	O
large	O
bowl	O
of	O
punch	O
upon	O
the	O
table	O
,	O
a	O
liquor	O
he	O
was	O
a	O
stranger	O
to	O
:	O
however	O
,	O
to	O
do	O
him	O
justice	O
,	O
he	O
drank	O
very	O
moderately	O
,	O
and	O
so	O
did	O
most	O
of	O
those	O
that	O
were	O
with	O
him	O
.	O

As	O
to	O
the	O
men	O
that	O
belonged	O
to	O
his	O
retinue	O
,	O
I	O
mean	O
servants	O
and	O
attendants	O
,	O
and	O
the	O
crews	O
of	O
the	O
boats	O
,	O
we	O
made	O
some	O
of	O
them	O
drunk	O
enough	O
.	O

While	O
this	O
was	O
doing	O
,	O
two	O
gentlemen	O
of	O
the	O
governor	O
's	O
company	O
took	O
occasion	O
to	O
leave	O
the	O
rest	O
and	O
walk	O
about	O
the	O
ship	O
;	O
and	O
,	O
in	O
so	O
doing	O
,	O
they	O
seemed	O
,	O
as	O
it	O
were	O
by	O
chance	O
,	O
to	O
cast	O
their	O
eyes	O
upon	O
our	O
bales	O
of	O
cloth	O
and	O
stuffs	O
,	O
baize	O
,	O
linen	O
,	O
silks	O
,	O
&	O
c	O
,	O
and	O
our	O
supercargo	O
and	O
they	O
began	O
to	O
make	O
bargains	O
apace	O
,	O
for	O
he	O
found	O
they	O
had	O
not	O
only	O
money	O
enough	O
,	O
but	O
had	O
abundance	O
of	O
other	O
things	O
which	O
we	O
were	O
as	O
willing	O
to	O
take	O
as	O
money	O
,	O
and	O
of	O
which	O
they	O
had	O
brought	O
specimens	O
with	O
them	O
;	O
as	O
particularly	O
spices	O
,	O
such	O
as	O
cloves	O
and	O
nutmegs	O
;	O
also	O
China	PNM
ware	O
,	O
tea	O
,	O
japanned	O
ware	O
,	O
wrought	O
silks	O
,	O
raw	O
silk	O
,	O
and	O
the	O
like	O
.	O

However	O
,	O
our	O
supercargo	O
dealt	O
with	O
them	O
at	O
present	O
for	O
nothing	O
but	O
ready	O
money	O
,	O
and	O
they	O
paid	O
all	O
in	O
gold	O
:	O
the	O
price	O
he	O
made	O
here	O
,	O
was	O
to	O
us	O
indeed	O
extravagant	O
,	O
though	O
to	O
them	O
moderate	O
,	O
seeing	O
they	O
had	O
been	O
used	O
to	O
buy	O
these	O
goods	O
from	O
the	O
Acapulco	O
ships	O
,	O
which	O
came	O
in	O
yearly	O
,	O
from	O
whom	O
to	O
be	O
sure	O
they	O
bought	O
them	O
dear	O
enough	O
.	O

They	O
bought	O
as	O
many	O
goods	O
at	O
this	O
time	O
as	O
they	O
paid	O
the	O
value	O
of	O
fifteen	O
thousand	O
pieces	O
of	O
eight	O
for	O
,	O
but	O
all	O
in	O
gold	O
by	O
weight	O
.	O

As	O
for	O
carrying	O
our	O
goods	O
on	O
shore	O
,	O
the	O
governor	O
,	O
being	O
present	O
,	O
no	O
officer	O
had	O
anything	O
to	O
say	O
to	O
them	O
;	O
so	O
they	O
were	O
carried	O
on	O
shore	O
as	O
presents	O
,	O
made	O
by	O
us	O
to	O
the	O
governor	O
and	O
his	O
retinue	O
.	O

The	O
next	O
day	O
three	O
Spanish	O
merchants	O
came	O
on	O
board	O
us	O
,	O
early	O
in	O
the	O
morning	O
,	O
before	O
it	O
was	O
light	O
,	O
and	O
desired	O
to	O
see	O
the	O
supercargo	O
.	O

They	O
brought	O
with	O
them	O
a	O
box	O
of	O
diamonds	O
and	O
some	O
pearl	O
,	O
and	O
a	O
great	O
quantity	O
of	O
gold	O
,	O
and	O
to	O
work	O
they	O
went	O
with	O
our	O
cargo	O
,	O
and	O
I	O
thought	O
once	O
they	O
would	O
have	O
bought	O
the	O
whole	O
ship	O
's	O
loading	O
;	O
but	O
they	O
contented	O
themselves	O
to	O
buy	O
about	O
the	O
value	O
of	O
two-and-twenty	O
thousand	O
pieces	O
of	O
eight	O
,	O
which	O
did	O
not	O
cost	O
,	O
in	O
England	PNM
,	O
one-sixth	O
part	O
of	O
the	O
money	O
.	O

We	O
had	O
some	O
difficulty	O
about	O
the	O
diamonds	O
,	O
because	O
we	O
did	O
not	O
understand	O
the	O
worth	O
of	O
them	O
,	O
but	O
our	O
supercargo	O
ventured	O
upon	O
them	O
at	O
ten	O
thousand	O
pieces	O
of	O
eight	O
,	O
and	O
took	O
the	O
rest	O
in	O
gold	O
.	O

They	O
desired	O
to	O
stay	O
on	O
board	O
till	O
the	O
next	O
night	O
,	O
when	O
,	O
soon	O
after	O
it	O
was	O
dark	O
,	O
a	O
small	O
sloop	O
came	O
on	O
board	O
and	O
took	O
in	O
all	O
their	O
goods	O
,	O
and	O
,	O
as	O
we	O
were	O
told	O
,	O
carried	O
them	O
away	O
to	O
some	O
other	O
island	O
.	O

The	O
same	O
day	O
,	O
and	O
before	O
these	O
merchants	O
were	O
gone	O
,	O
came	O
a	O
large	O
shallop	O
on	O
board	O
with	O
a	O
square	O
sail	O
,	O
towing	O
after	O
her	O
a	O
great	O
heavy	O
boat	O
,	O
which	O
had	O
a	O
deck	O
,	O
but	O
seemed	O
to	O
have	O
been	O
a	O
large	O
ship	O
's	O
long-boat	O
,	O
built	O
into	O
a	O
kind	O
of	O
yacht	O
,	O
but	O
ill	O
masted	O
,	O
and	O
sailed	O
heavily	O
.	O

In	O
these	O
two	O
boats	O
they	O
brought	O
seven	O
tons	O
of	O
cloves	O
in	O
mats	O
,	O
some	O
chests	O
of	O
China	PNM
ware	O
,	O
some	O
pieces	O
of	O
China	PNM
silks	O
,	O
of	O
several	O
sorts	O
,	O
and	O
a	O
great	O
sum	O
of	O
money	O
also	O
.	O

In	O
short	O
,	O
the	O
merchants	O
sold	O
so	O
cheap	O
and	O
bought	O
so	O
dear	O
,	O
that	O
our	O
supercargo	O
declared	O
he	O
would	O
sell	O
the	O
whole	O
cargo	O
for	O
goods	O
,	O
if	O
they	O
would	O
bring	O
them	O
,	O
for	O
,	O
by	O
his	O
calculation	O
,	O
he	O
had	O
disposed	O
of	O
as	O
many	O
goods	O
as	O
he	O
received	O
the	O
value	O
of	O
one	O
hundred	O
thousand	O
pieces	O
of	O
eight	O
for	O
,	O
all	O
which	O
,	O
by	O
his	O
accounts	O
,	O
did	O
not	O
amount	O
to	O
,	O
first	O
cost	O
,	O
above	O
three	O
thousand	O
pounds	O
sterling	O
in	O
England	PNM
.	O

Our	O
ship	O
was	O
now	O
an	O
open	O
fair	O
;	O
for	O
,	O
two	O
or	O
three	O
days	O
after	O
,	O
came	O
the	O
vessel	O
back	O
which	O
went	O
away	O
in	O
the	O
night	O
,	O
and	O
with	O
them	O
a	O
Chinese	O
junk	O
,	O
and	O
seven	O
or	O
eight	O
Chinese	O
or	O
Japanners	O
;	O
strange	O
,	O
ugly	O
,	O
ill-looking	O
fellows	O
they	O
were	O
,	O
but	O
brought	O
a	O
Spaniard	O
to	O
be	O
their	O
interpreter	O
,	O
and	O
they	O
came	O
to	O
trade	O
also	O
,	O
bringing	O
with	O
them	O
seventy	O
great	O
chests	O
of	O
China	PNM
ware	O
exceeding	O
fine	O
,	O
twelve	O
chests	O
of	O
China	PNM
silks	O
of	O
several	O
sorts	O
,	O
and	O
some	O
lackered	O
cabinets	O
,	O
very	O
fine	O
.	O

We	O
dealt	O
with	O
them	O
for	O
all	O
those	O
,	O
for	O
our	O
supercargo	O
left	O
nothing	O
,	O
he	O
took	O
everything	O
they	O
brought	O
.	O

Our	O
traders	O
were	O
more	O
difficult	O
to	O
please	O
than	O
we	O
:	O
for	O
as	O
for	O
baize	O
and	O
druggets	O
,	O
and	O
such	O
goods	O
,	O
they	O
would	O
not	O
meddle	O
with	O
them	O
;	O
but	O
our	O
fine	O
cloths	O
and	O
some	O
bales	O
of	O
linen	O
they	O
bought	O
very	O
freely	O
.	O

So	O
we	O
unloaded	O
their	O
vessel	O
and	O
put	O
our	O
goods	O
on	O
board	O
.	O

We	O
took	O
a	O
good	O
sum	O
of	O
money	O
of	O
them	O
besides	O
;	O
but	O
whither	O
they	O
went	O
we	O
knew	O
not	O
,	O
for	O
they	O
both	O
came	O
and	O
went	O
in	O
the	O
night	O
too	O
,	O
as	O
the	O
other	O
did	O
.	O

This	O
trade	O
held	O
a	O
good	O
while	O
,	O
and	O
we	O
found	O
that	O
our	O
customers	O
came	O
more	O
from	O
other	O
islands	O
than	O
from	O
the	O
island	O
where	O
the	O
governor	O
resided	O
;	O
the	O
reason	O
of	O
which	O
,	O
as	O
we	O
understood	O
afterwards	O
,	O
was	O
,	O
because	O
,	O
as	O
the	O
governor	O
had	O
not	O
openly	O
granted	O
a	O
freedom	O
of	O
commerce	O
,	O
but	O
privately	O
winked	O
at	O
it	O
,	O
so	O
they	O
were	O
not	O
willing	O
to	O
carry	O
it	O
on	O
openly	O
before	O
his	O
face	O
,	O
or	O
,	O
as	O
we	O
say	O
,	O
under	O
his	O
nose	O
;	O
whereas	O
,	O
in	O
other	O
islands	O
,	O
they	O
could	O
convey	O
their	O
goods	O
on	O
shore	O
with	O
very	O
little	O
hazard	O
,	O
agreeing	O
with	O
the	O
custom-house	O
officer	O
for	O
a	O
small	O
matter	O
.	O

These	O
boats	O
came	O
and	O
went	O
thus	O
several	O
times	O
,	O
till	O
,	O
in	O
short	O
,	O
we	O
had	O
disposed	O
almost	O
of	O
the	O
whole	O
cargo	O
;	O
and	O
now	O
our	O
men	O
began	O
to	O
be	O
convinced	O
that	O
we	O
had	O
laid	O
out	O
our	O
voyage	O
very	O
right	O
,	O
for	O
never	O
was	O
cargo	O
better	O
sold	O
;	O
and	O
,	O
as	O
we	O
resolved	O
to	O
pursue	O
our	O
voyage	O
for	O
New	PNM
Spain	PNM
,	O
we	O
had	O
taken	O
in	O
a	O
cargo	O
very	O
proper	O
to	O
sell	O
there	O
,	O
and	O
so	O
,	O
perhaps	O
,	O
to	O
double	O
the	O
advantage	O
we	O
had	O
already	O
made	O
.	O

In	O
the	O
mean	O
time	O
,	O
all	O
our	O
hands	O
were	O
at	O
work	O
to	O
store	O
ourselves	O
anew	O
,	O
with	O
such	O
provisions	O
as	O
could	O
be	O
had	O
here	O
for	O
so	O
long	O
a	O
run	O
as	O
we	O
knew	O
we	O
were	O
to	O
have	O
next	O
;	O
namely	O
,	O
over	O
the	O
vast	O
Pacific	PNM
Ocean	PNM
,	PNM
or	O
South	PNM
Sea	PNM
,	O
a	O
voyage	O
where	O
we	O
might	O
expect	O
to	O
see	O
no	O
land	O
for	O
four	O
months	O
,	O
except	O
we	O
touched	O
at	O
the	O
Ladrones	O
,	O
as	O
it	O
might	O
happen	O
;	O
and	O
our	O
greatest	O
anxiety	O
was	O
for	O
want	O
of	O
water	O
,	O
which	O
our	O
whole	O
ship	O
could	O
scarce	O
be	O
able	O
to	O
stow	O
sufficient	O
for	O
our	O
use	O
;	O
and	O
our	O
want	O
of	O
casks	O
was	O
still	O
as	O
bad	O
as	O
the	O
want	O
of	O
water	O
,	O
for	O
we	O
really	O
knew	O
not	O
what	O
to	O
put	O
water	O
in	O
when	O
we	O
had	O
it	O
.	O

The	O
Spaniards	O
had	O
helped	O
us	O
to	O
some	O
casks	O
,	O
but	O
not	O
many	O
;	O
those	O
that	O
they	O
could	O
spare	O
were	O
but	O
small	O
,	O
and	O
at	O
last	O
we	O
were	O
obliged	O
to	O
make	O
use	O
of	O
about	O
two	O
hundred	O
large	O
earthen	O
jars	O
,	O
which	O
were	O
of	O
singular	O
use	O
to	O
us	O
.	O

We	O
got	O
a	O
large	O
quantity	O
of	O
good	O
rice	O
here	O
,	O
which	O
we	O
bought	O
of	O
a	O
Chinese	O
merchant	O
,	O
who	O
came	O
in	O
here	O
with	O
a	O
large	O
China	PNM
vessel	O
to	O
trade	O
,	O
who	O
bought	O
of	O
us	O
also	O
several	O
of	O
our	O
European	O
goods	O
.	O

Just	O
as	O
we	O
were	O
ready	O
to	O
sail	O
,	O
a	O
boat	O
came	O
from	O
the	O
town	O
of	O
Manilla	PNM
,	O
and	O
brought	O
a	O
new	O
merchant	O
,	O
who	O
wanted	O
more	O
English	O
goods	O
,	O
but	O
we	O
had	O
but	O
few	O
left	O
;	O
he	O
brought	O
with	O
him	O
thirty	O
chests	O
of	O
calicoes	O
,	O
muslins	O
,	O
wrought	O
silks	O
,	O
some	O
of	O
them	O
admirably	O
fine	O
indeed	O
,	O
with	O
fifteen	O
bales	O
of	O
romals	O
,	O
and	O
twelve	O
tons	O
of	O
nutmegs	O
.	O

We	O
sold	O
him	O
what	O
goods	O
we	O
had	O
left	O
,	O
and	O
gave	O
him	O
money	O
for	O
the	O
rest	O
,	O
but	O
had	O
them	O
at	O
a	O
price	O
so	O
cheap	O
,	O
as	O
was	O
sufficient	O
to	O
let	O
us	O
know	O
that	O
it	O
was	O
always	O
well	O
worth	O
while	O
for	O
ships	O
to	O
trade	O
from	O
Europe	PNM
to	O
the	O
East	PNM
Indies	PNM
;	O
from	O
whence	O
they	O
are	O
sure	O
to	O
make	O
five	O
or	O
six	O
of	O
one	O
.	O

Had	O
more	O
of	O
these	O
merchants	O
come	O
on	O
board	O
,	O
we	O
were	O
resolved	O
to	O
have	O
laid	O
out	O
all	O
the	O
gold	O
and	O
silver	O
we	O
had	O
,	O
which	O
was	O
a	O
very	O
considerable	O
quantity	O
.	O

The	O
last	O
merchant	O
who	O
came	O
on	O
board	O
us	O
was	O
a	O
Spaniard	O
;	O
but	O
I	O
found	O
that	O
he	O
spoke	O
very	O
good	O
French	O
,	O
and	O
some	O
English	O
;	O
that	O
he	O
had	O
been	O
in	O
England	PNM
some	O
years	O
before	O
,	O
and	O
understood	O
English	O
woollen	O
manufactures	O
very	O
well	O
.	O

He	O
told	O
me	O
he	O
had	O
all	O
his	O
present	O
goods	O
from	O
Acapulco	PNM
,	O
but	O
that	O
they	O
were	O
then	O
excessively	O
dear	O
.	O

He	O
had	O
considerable	O
dealings	O
with	O
the	O
Chinese	O
,	O
and	O
some	O
with	O
the	O
coast	O
of	O
Coromandel	PNM
and	O
Bengal	PNM
,	O
and	O
kept	O
a	O
vessel	O
or	O
two	O
of	O
his	O
own	O
to	O
go	O
to	O
Bengal	PNM
,	O
which	O
generally	O
went	O
twice	O
in	O
a	O
year	O
.	O

I	O
found	O
be	O
had	O
great	O
business	O
with	O
New	PNM
Spain	PNM
,	O
and	O
that	O
he	O
generally	O
had	O
one	O
of	O
the	O
Acapulco	O
ships	O
chiefly	O
consigned	O
to	O
him	O
;	O
so	O
that	O
he	O
was	O
full	O
of	O
all	O
such	O
goods	O
as	O
those	O
ships	O
generally	O
carried	O
away	O
from	O
the	O
Manillas	O
,	O
and	O
,	O
had	O
we	O
traded	O
with	O
him	O
sooner	O
,	O
we	O
should	O
have	O
had	O
more	O
calicoes	O
and	O
muslins	O
than	O
we	O
now	O
had	O
;	O
however	O
,	O
we	O
were	O
exceedingly	O
well	O
stored	O
with	O
goods	O
of	O
all	O
sorts	O
,	O
suitable	O
for	O
a	O
market	O
in	O
Peru	PNM
,	O
whither	O
I	O
resolved	O
to	O
go	O
.	O

We	O
continued	O
chaffering	O
after	O
this	O
manner	O
about	O
nine	O
weeks	O
,	O
during	O
which	O
time	O
we	O
careened	O
our	O
ships	O
,	O
cleaned	O
their	O
bottoms	O
,	O
rummaged	O
our	O
gold	O
,	O
and	O
repacked	O
some	O
of	O
our	O
provisions	O
;	O
endeavouring	O
,	O
as	O
much	O
as	O
possible	O
,	O
to	O
keep	O
all	O
our	O
men	O
as	O
fully	O
employed	O
as	O
we	O
could	O
,	O
to	O
preserve	O
them	O
in	O
health	O
,	O
and	O
yet	O
not	O
to	O
overwork	O
them	O
,	O
considering	O
the	O
heat	O
of	O
the	O
climate	O
.	O

Some	O
time	O
before	O
we	O
were	O
ready	O
to	O
sail	O
,	O
I	O
called	O
all	O
the	O
warrant	O
officers	O
together	O
,	O
and	O
told	O
them	O
,	O
that	O
as	O
we	O
were	O
come	O
to	O
a	O
country	O
where	O
abundance	O
of	O
small	O
things	O
were	O
to	O
be	O
bought	O
,	O
and	O
going	O
to	O
a	O
country	O
where	O
we	O
might	O
possibly	O
have	O
an	O
opportunity	O
to	O
sell	O
them	O
again	O
to	O
advantage	O
,	O
I	O
would	O
advance	O
to	O
every	O
officer	O
a	O
hundred	O
dollars	O
,	O
upon	O
account	O
of	O
their	O
pay	O
,	O
that	O
they	O
might	O
lay	O
it	O
out	O
here	O
,	O
and	O
dispose	O
of	O
it	O
again	O
on	O
the	O
coast	O
of	O
New	PNM
Spain	PNM
to	O
advantage	O
.	O

This	O
was	O
very	O
acceptable	O
to	O
them	O
,	O
and	O
they	O
acknowledged	O
it	O
;	O
and	O
here	O
,	O
besides	O
this	O
,	O
by	O
the	O
consent	O
of	O
all	O
our	O
superior	O
officers	O
,	O
I	O
gave	O
a	O
largess	O
or	O
bounty	O
of	O
five	O
dollars	O
a	O
man	O
,	O
to	O
all	O
our	O
foremast	O
men	O
;	O
most	O
of	O
which	O
I	O
believe	O
they	O
laid	O
out	O
in	O
arrack	O
and	O
sugar	O
,	O
to	O
cheer	O
them	O
up	O
in	O
the	O
rest	O
of	O
the	O
voyage	O
,	O
which	O
they	O
all	O
knew	O
would	O
be	O
long	O
enough	O
.	O

We	O
went	O
away	O
from	O
Manilla	PNM
,	O
in	O
the	O
island	O
of	O
Luconia	PNM
,	O
the	O
15th	O
of	O
August	O
,	O
1714	O
;	O
and	O
,	O
sailing	O
awhile	O
to	O
the	O
southward	O
,	O
passed	O
the	O
Straits	O
between	O
that	O
island	O
and	O
Mindora	PNM
,	O
another	O
of	O
the	O
Philippines	O
,	O
where	O
we	O
met	O
with	O
little	O
extraordinary	O
,	O
except	O
extraordinary	O
lightning	O
and	O
thunders	O
,	O
such	O
as	O
we	O
never	O
heard	O
or	O
saw	O
before	O
,	O
though	O
,	O
it	O
seems	O
,	O
it	O
is	O
very	O
familiar	O
in	O
that	O
climate	O
;	O
till	O
,	O
after	O
sixteen	O
days	O
'	O
sailing	O
,	O
we	O
saw	O
the	O
isle	O
of	O
Guam	PNM
,	O
one	O
of	O
the	O
Ladrones	O
,	O
or	O
Islands	O
of	O
Thieves	O
,	O
for	O
so	O
much	O
the	O
word	O
imports	O
;	O
here	O
we	O
came	O
to	O
an	O
anchor	O
,	O
Sept.	O
3	O
,	O
under	O
the	O
lee	O
of	O
a	O
steep	O
shore	O
,	O
on	O
the	O
north	O
side	O
of	O
the	O
isle	O
of	O
Guam	PNM
;	O
but	O
,	O
as	O
we	O
wanted	O
no	O
trade	O
here	O
,	O
we	O
did	O
not	O
at	O
first	O
inquire	O
after	O
the	O
chief	O
port	O
,	O
or	O
Spanish	O
governor	O
,	O
or	O
anything	O
of	O
that	O
kind	O
;	O
but	O
we	O
changed	O
our	O
situation	O
the	O
next	O
day	O
,	O
and	O
went	O
through	O
the	O
passage	O
to	O
the	O
east	O
side	O
of	O
the	O
island	O
,	O
and	O
came	O
to	O
an	O
anchor	O
near	O
the	O
town	O
.	O

The	O
people	O
came	O
off	O
,	O
and	O
brought	O
us	O
hogs	O
and	O
fowls	O
,	O
and	O
several	O
sorts	O
of	O
roots	O
and	O
greens	O
,	O
articles	O
which	O
we	O
were	O
very	O
glad	O
of	O
,	O
and	O
which	O
we	O
bought	O
the	O
more	O
of	O
because	O
we	O
always	O
found	O
that	O
such	O
things	O
were	O
good	O
to	O
keep	O
the	O
men	O
from	O
the	O
scurvy	O
,	O
and	O
even	O
to	O
cure	O
them	O
of	O
it	O
if	O
they	O
had	O
it	O
.	O

We	O
took	O
in	O
fresh	O
water	O
here	O
also	O
,	O
though	O
it	O
was	O
with	O
some	O
difficulty	O
,	O
the	O
water	O
lying	O
half	O
a	O
mile	O
from	O
the	O
shore	O
.	O

When	O
I	O
parted	O
from	O
Manilla	PNM
,	O
and	O
was	O
getting	O
through	O
the	O
Strait	O
between	O
the	O
island	O
of	O
Luconia	PNM
and	O
that	O
of	O
Mindora	PNM
,	O
I	O
had	O
some	O
thoughts	O
of	O
steering	O
away	O
north	O
,	O
to	O
try	O
what	O
land	O
we	O
might	O
meet	O
with	O
to	O
the	O
north-east	O
of	O
the	O
Philippines	O
;	O
and	O
with	O
intent	O
to	O
have	O
endeavoured	O
to	O
make	O
up	O
into	O
the	O
latitude	O
of	O
50	O
or	O
60	O
°	O
,	O
and	O
have	O
come	O
about	O
again	O
to	O
the	O
south	O
,	O
between	O
the	O
island	O
of	O
California	PNM
and	O
the	O
mainland	O
of	O
America	PNM
;	O
in	O
which	O
course	O
,	O
I	O
did	O
not	O
question	O
meeting	O
with	O
extraordinary	O
new	O
discoveries	O
,	O
and	O
,	O
perhaps	O
,	O
such	O
as	O
the	O
age	O
might	O
not	O
expect	O
to	O
hear	O
of	O
,	O
relating	O
to	O
the	O
northern	O
world	O
,	O
and	O
the	O
possibility	O
of	O
a	O
passage	O
out	O
of	O
those	O
seas	O
,	O
either	O
east	O
or	O
west	O
,	O
both	O
which	O
,	O
I	O
doubt	O
not	O
,	O
would	O
be	O
found	O
,	O
if	O
they	O
were	O
searched	O
after	O
this	O
way	O
;	O
and	O
which	O
,	O
for	O
aught	O
I	O
know	O
,	O
remain	O
undiscovered	O
for	O
want	O
only	O
of	O
an	O
attempt	O
being	O
made	O
by	O
those	O
seas	O
,	O
where	O
it	O
would	O
be	O
easy	O
to	O
find	O
whether	O
the	O
Tartarian	O
seas	O
are	O
navigable	O
or	O
not	O
;	O
and	O
whether	O
Nova	PNM
Zembla	PNM
be	O
an	O
island	O
or	O
joined	O
to	O
the	O
main	O
;	O
whether	O
the	O
inlets	O
of	O
Hudson	PNM
's	PNM
Bay	PNM
have	O
any	O
opening	O
into	O
the	O
West	O
Sea	O
;	O
and	O
whether	O
the	O
vast	O
lakes	O
,	O
from	O
whence	O
the	O
great	O
river	O
of	O
Canada	PNM
is	O
said	O
to	O
flow	O
,	O
have	O
any	O
communication	O
this	O
way	O
or	O
not	O
.	O

But	O
though	O
these	O
were	O
valuable	O
discoveries	O
,	O
yet	O
,	O
when	O
I	O
began	O
to	O
cast	O
up	O
the	O
account	O
in	O
a	O
more	O
serious	O
manner	O
,	O
they	O
appeared	O
to	O
have	O
no	O
relation	O
to	O
,	O
or	O
coherence	O
with	O
,	O
our	O
intended	O
voyage	O
,	O
or	O
with	O
the	O
design	O
of	O
our	O
employers	O
,	O
which	O
we	O
were	O
to	O
consider	O
in	O
the	O
first	O
place	O
,	O
for	O
though	O
it	O
is	O
true	O
that	O
we	O
were	O
encouraged	O
to	O
make	O
all	O
such	O
kinds	O
of	O
useful	O
discoveries	O
as	O
might	O
tend	O
to	O
the	O
advantage	O
of	O
trade	O
,	O
and	O
the	O
improvement	O
of	O
geographical	O
knowledge	O
and	O
experience	O
,	O
yet	O
it	O
was	O
all	O
to	O
be	O
so	O
directed	O
as	O
to	O
be	O
subservient	O
to	O
the	O
profits	O
and	O
advantages	O
of	O
a	O
trading	O
and	O
cruising	O
voyage	O
.	O

It	O
is	O
true	O
that	O
these	O
northern	O
discoveries	O
might	O
be	O
infinitely	O
great	O
,	O
and	O
most	O
glorious	O
to	O
the	O
British	O
nation	O
,	O
by	O
opening	O
new	O
sources	O
of	O
wealth	O
and	O
commerce	O
in	O
general	O
:	O
yet	O
,	O
as	O
I	O
have	O
said	O
,	O
it	O
was	O
evident	O
that	O
they	O
tended	O
directly	O
to	O
destroy	O
the	O
voyage	O
,	O
either	O
as	O
to	O
trading	O
or	O
to	O
cruising	O
,	O
and	O
might	O
perhaps	O
end	O
in	O
our	O
own	O
destruction	O
also	O
.	O

For	O
example	O
,	O
first	O
of	O
all	O
,	O
if	O
adventuring	O
into	O
those	O
northern	O
seas	O
,	O
we	O
should	O
,	O
by	O
our	O
industry	O
,	O
make	O
out	O
the	O
discovery	O
,	O
and	O
find	O
a	O
passage	O
,	O
either	O
east	O
or	O
west	O
,	O
we	O
must	O
follow	O
the	O
discovery	O
so	O
as	O
to	O
venture	O
quite	O
through	O
,	O
or	O
else	O
we	O
could	O
not	O
be	O
sure	O
that	O
it	O
was	O
really	O
a	O
discovery	O
;	O
for	O
these	O
passages	O
would	O
not	O
be	O
like	O
doubling	O
Cape	PNM
de	PNM
Bon	PNM
Esperance	PNM
,	O
on	O
the	O
point	O
of	O
Africa	PNM
,	O
or	O
going	O
round	O
Cape	PNM
Horn	PNM
,	O
the	O
southernmost	O
point	O
of	O
America	PNM
,	O
either	O
of	O
which	O
were	O
compassed	O
in	O
a	O
few	O
days	O
,	O
and	O
then	O
immediately	O
gave	O
an	O
opening	O
into	O
the	O
Indian	O
or	O
Southern	PNM
Oceans	PNM
,	O
where	O
good	O
weather	O
and	O
certain	O
refreshment	O
were	O
to	O
be	O
had	O
.	O

Whereas	O
,	O
for	O
the	O
discovery	O
in	O
the	O
north	O
,	O
after	O
having	O
passed	O
the	O
northernmost	O
land	O
of	O
Grand	PNM
Tartary	PNM
,	O
in	O
the	O
latitude	O
of	O
74	O
even	O
to	O
80	O
°	O
,	O
and	O
perhaps	O
to	O
the	O
very	O
north	O
pole	O
,	O
there	O
must	O
be	O
a	O
run	O
west	O
,	O
beyond	O
the	O
most	O
northerly	O
point	O
of	O
Nova	PNM
Zembla	PNM
,	O
and	O
on	O
again	O
west-south-west	O
,	O
about	O
the	O
North	O
Kyn	O
and	O
North	PNM
Cape	PNM
,	O
about	O
six	O
hundred	O
leagues	O
,	O
before	O
we	O
could	O
come	O
to	O
have	O
any	O
relief	O
of	O
the	O
climate	O
;	O
after	O
that	O
,	O
one	O
hundred	O
and	O
sixty	O
leagues	O
more	O
,	O
and	O
even	O
to	O
Shetland	PNM
and	O
the	O
north	O
of	O
Scotland	PNM
,	O
before	O
we	O
could	O
meet	O
with	O
any	O
relief	O
of	O
provisions	O
,	O
which	O
,	O
after	O
the	O
length	O
we	O
must	O
have	O
run	O
,	O
from	O
the	O
latitude	O
of	O
3	O
1/2	O
°	O
,	O
where	O
we	O
now	O
were	O
at	O
the	O
Philippine	O
Islands	O
,	O
to	O
74	O
°	O
north	O
,	O
being	O
near	O
five	O
thousand	O
miles	O
,	O
would	O
be	O
impossible	O
to	O
be	O
done	O
,	O
unless	O
we	O
were	O
sure	O
to	O
victual	O
,	O
and	O
furnish	O
ourselves	O
again	O
with	O
provisions	O
and	O
water	O
by	O
the	O
way	O
,	O
and	O
that	O
in	O
several	O
places	O
.	O

As	O
to	O
the	O
other	O
passage	O
east	O
,	O
towards	O
the	O
continent	O
of	O
America	PNM
,	O
we	O
had	O
this	O
uncertainty	O
also	O
;	O
namely	O
,	O
that	O
it	O
was	O
not	O
yet	O
discovered	O
whether	O
the	O
land	O
of	O
California	PNM
was	O
an	O
island	O
or	O
a	O
continent	O
,	O
and	O
